fid,id,Carb.m1,B12,B11,B8A,B7,B6,B5,WVP,B8,B4,B3,B2,AOT
"644","645",0.4601414843,1592,2264,2653,2416,1910,995,2067,2634,628,635,431,78
"645","646",0.2438971089,1577,2221,2934,2620,2037,1036,2253,2836,676,637,444,78
"646","647",0.2336655975,1577,2221,2934,2620,2037,1036,2253,2946,596,604,431,78
"647","648",0.1520900339,1394,2301,3541,3216,2592,1007,2443,3414,501,583,397,78
"648","649",0.2438971089,1386,2222,3350,3237,2472,1004,2319,3692,448,561,340,78
"649","650",0.6083601355,2111,2769,2907,2676,2335,1262,2180,2802,813,730,452,78
"650","651",0.5530546686,1855,2613,2955,2724,2249,1074,2171,2784,698,623,390,78
"651","652",2.201848899,1974,2740,2968,2679,2223,1239,2149,2822,899,744,467,78
"652","653",1.036977504,1687,2438,2932,2660,2195,1003,2119,2836,606,573,367,78
"653","654",1.036977504,1754,2577,2953,2675,2215,999,2084,2724,572,556,329,78
"654","655",0.9505627117,2018,3078,2975,2640,2225,1221,2087,2874,629,619,393,78
"655","656",2.032475907,1664,2457,2935,2636,2193,1001,2130,2756,640,602,381,78
"656","657",0.5530546686,1800,2591,2915,2678,2215,1029,2156,2732,678,615,387,78
"657","658",0.9505627117,1978,2715,2942,2687,2210,1182,2156,2830,686,616,386,78
"658","659",0.5530546686,1827,2547,2908,2654,2210,1079,2197,2700,686,603,363,78
"659","660",0.4977492017,1827,2547,2908,2654,2210,1079,2197,2798,739,651,423,78
"660","661",1.123392296,1921,2645,2949,2697,2226,1148,2198,2808,681,635,396,78
"661","662",0.6636656023,1800,2591,2915,2678,2215,1029,2156,2752,742,681,444,78
"662","663",2.201848899,1664,2457,2935,2636,2193,1001,2130,2768,599,570,335,78
"663","664",1.742122206,1790,2768,3109,2775,2274,1094,2170,2978,604,606,366,78
"664","665",2.201848899,1790,2768,3109,2775,2274,1094,2170,2958,564,578,357,78
"665","666",0.5530546686,1536,2329,2888,2631,2121,888,2151,2754,564,554,354,78
"666","667",0.9505627117,1810,2623,2963,2700,2244,1090,2179,2868,619,586,353,78
"667","668",1.617684906,1921,2645,2949,2697,2226,1148,2198,2750,780,700,433,78
"668","669",1.493247605,1845,2581,2861,2662,2206,1078,2215,2790,678,637,414,78
"669","670",1.244373004,1717,2474,2834,2646,2132,997,2185,2770,625,602,363,78
"670","671",1.617684906,1860,2599,2893,2703,2204,1074,2198,2722,711,647,399,78
"671","672",1.89853298,1584,2314,2921,2657,2174,932,2157,2790,532,524,339,78
"672","673",1.368810305,1528,2269,2844,2604,2093,896,2157,2676,501,523,339,78
"673","674",1.493247605,1615,2504,3102,2731,2266,990,2187,3100,540,581,357,78
"674","675",1.123392296,1696,2515,2919,2664,2198,1068,2187,2866,622,588,355,78
"675","676",2.032475907,1575,2251,2769,2532,2067,882,2146,2624,496,490,323,78
"676","677",2.654662409,1678,2455,2892,2598,2159,1005,2155,2750,686,651,404,78
"677","678",0.9505627117,1902,2694,2947,2682,2210,1145,2179,2766,796,683,437,78
"678","679",0.9505627117,1717,2474,2834,2646,2132,997,2185,2736,657,611,390,78
"679","680",1.493247605,1805,2526,2796,2551,2134,1063,2185,2558,666,594,403,78
"680","681",1.123392296,1978,2715,2942,2687,2210,1182,2156,2784,857,749,463,78
"681","682",1.493247605,1822,2624,2849,2597,2151,1099,2153,2702,745,703,469,78
"682","683",1.123392296,1575,2251,2769,2532,2067,882,2146,2552,498,498,333,78
"683","684",1.493247605,1696,2515,2919,2664,2198,1068,2187,2754,595,572,352,78
"684","685",1.493247605,1825,2654,2879,2618,2162,1094,2172,2724,652,601,369,78
"685","686",1.368810305,1655,2379,2783,2561,2095,954,2146,2600,561,533,341,78
"686","687",0.8641479197,1822,2624,2849,2597,2151,1099,2153,2742,893,824,544,78
"687","688",1.617684906,1745,2507,2746,2497,2107,1013,2161,2598,688,616,424,78
"688","689",0.6083601355,1869,2622,2860,2636,2166,1102,2192,2710,688,596,417,78
"689","690",0.6636656023,1869,2622,2860,2636,2166,1102,2192,2732,695,603,406,78
"690","691",0.6083601355,1833,2610,2858,2638,2170,1122,2192,2732,750,665,439,78
"691","692",1.493247605,1920,2726,2872,2630,2173,1220,2155,2800,926,838,557,78
"692","693",1.493247605,1723,2606,2923,2733,2294,1055,2206,2808,594,572,350,78
"693","694",0.6636656023,1768,2655,2965,2688,2258,1066,2190,2850,645,661,397,78
"694","695",1.368810305,1610,2433,2919,2710,2183,999,2190,2834,577,541,322,78
"695","696",1.493247605,1686,2448,2873,2626,2126,1037,2160,2678,627,597,379,78
"696","697",1.036977504,1923,2717,2926,2707,2228,1230,2200,2778,870,806,506,78
"697","698",0.9505627117,1930,2686,2902,2674,2219,1165,2192,2732,746,669,444,78
"698","699",1.036977504,1806,2580,2888,2640,2226,1113,2233,2740,703,667,430,78
"699","700",1.863102915,1806,2580,2888,2640,2226,1113,2233,2818,656,629,393,78
"700","701",0.6083601355,1815,2588,2942,2678,2241,1099,2206,2800,733,664,435,78
"701","702",0.6636656023,1923,2717,2926,2707,2228,1230,2200,2746,865,782,512,78
"702","703",1.617684906,1652,2531,2971,2731,2222,1055,2206,2850,599,570,340,78
"703","704",0.5530546686,1610,2433,2919,2710,2183,999,2190,2776,634,615,375,78
"704","705",0.6083601355,1508,2258,2656,2495,2033,959,2103,2740,595,579,347,78
"705","706",1.036977504,1723,2606,2923,2733,2294,1055,2206,2808,594,572,350,78
"706","707",0.6636656023,1822,2603,2906,2721,2230,1100,2213,2746,736,683,429,78
"707","708",0.6636656023,1815,2588,2942,2678,2241,1099,2206,2780,650,637,399,78
"708","709",1.244373004,1721,2512,2991,2781,2288,1039,2274,2942,583,586,354,78
"709","710",1.123392296,1671,2526,3136,2923,2361,1055,2312,2922,642,610,374,78
"710","711",0.2488746009,1670,2459,3045,2833,2248,1059,2213,2854,648,637,402,78
"711","712",0.9505627117,1723,2606,2923,2733,2294,1055,2206,2756,683,673,401,78
"712","713",0.9505627117,1564,2310,2825,2534,2134,961,2103,2966,629,631,409,78
"713","714",0.5530546686,1560,2366,2778,2627,2109,1060,2115,2552,573,592,377,78
"714","715",1.036977504,1667,2492,3111,2868,2388,1068,2316,3018,664,636,426,78
"715","716",0.8641479197,1671,2526,3136,2923,2361,1055,2312,3022,603,620,404,78
"716","717",1.863102915,1664,2433,2905,2685,2168,1004,2169,2954,571,565,337,78
"717","718",1.493247605,1543,2328,2876,2679,2253,990,2169,2930,579,628,408,78
"718","719",0.3110932511,1537,2229,2610,2394,1895,1061,1950,2662,602,626,413,78
"719","720",2.433440542,1664,2433,2905,2685,2168,1004,2169,2954,571,565,337,78
"720","721",2.519855334,1993,2704,2677,2374,2033,1139,2155,2530,859,782,546,78
"721","722",1.990996807,2155,2747,2476,2244,1958,1268,2110,2336,659,556,409,78
"722","723",3.456591679,2268,2819,2470,2300,1980,1381,2071,2492,764,633,421,78
"723","724",2.79983926,1621,2283,2558,2306,1839,837,2071,2432,547,484,326,78
"724","725",2.765273343,1909,2566,2497,2219,1916,1062,2081,2350,604,531,347,78
"725","726",8.848874698,1993,2704,2677,2374,2033,1139,2155,2534,729,638,418,78
"726","727",4.479742816,1745,2482,2596,2372,1924,1030,2155,2388,626,529,371,78
"727","728",3.764228338,1614,2236,2518,2295,1800,906,2073,2404,561,498,322,78
"728","729",3.110932511,1621,2293,2623,2391,1868,905,2071,2508,576,539,341,78
"729","730",6.097427721,1647,2294,2541,2308,1842,899,2071,2404,573,509,322,78
"730","731",4.182475931,1583,2239,2496,2278,1821,890,2073,2360,581,485,340,78
"731","732",4.479742816,1745,2482,2596,2372,1924,1030,2155,2548,676,605,404,78
"732","733",3.110932511,1625,2268,2599,2359,1896,900,2115,2440,571,502,353,78
"733","734",4.479742816,1627,2262,2551,2304,1827,889,2072,2366,594,499,347,78
"734","735",3.764228338,1645,2347,2661,2311,1905,950,2099,2556,647,608,375,78
"735","736",2.765273343,1645,2347,2661,2311,1905,950,2099,2458,594,525,333,78
"736","737",4.479742816,1515,2228,2631,2365,1854,881,2115,2416,574,515,342,78
"737","738",1.119935704,1746,2513,2728,2458,2030,1074,2157,2612,645,576,387,78
"738","739",1.52435693,1577,2308,2694,2458,1958,958,2154,2534,559,520,340,78
"739","740",1.76977494,1515,2228,2631,2365,1854,881,2115,2446,554,488,316,78
"740","741",3.764228338,1444,2150,2673,2403,1887,860,2126,2500,510,486,299,78
"741","742",4.479742816,1517,2256,2640,2387,1909,881,2082,2556,524,467,301,78
"742","743",2.765273343,1882,2633,2993,2727,2214,1215,2191,3042,586,571,375,78
"743","744",3.764228338,1624,2339,2823,2491,1948,945,2191,2574,618,561,385,78
