fid,id,Carb.m1,B12,B11,B8A,B7,B6,B5,WVP,B8,B4,B3,B2,AOT
"894","895",0.9505627117,1865,2665,3061,2823,2350,1246,2189,2824,721,675,458,78
"896","897",0.2609486747,1767,2592,3136,2873,2364,1089,2205,3190,684,670,463,78
"897","898",0.1229247526,1426,2196,3421,3163,2422,958,2338,3350,733,712,451,78
"898","899",0.3330559369,1541,2420,3420,3177,2500,915,2295,3436,615,633,425,78
"900","901",0.3419498801,1425,2310,3589,3335,2560,907,2367,3472,544,572,398,78
"901","902",0.004116286365,1388,2369,3642,3337,2629,909,2443,3496,570,587,396,78
"902","903",0.3569255676,1298,2166,3498,3144,2646,851,2342,3624,489,538,381,78
"903","904",0.4978191977,1393,2306,3734,3405,2574,952,2443,3554,543,558,360,78
"904","905",0.3819171899,1799,2503,2865,2529,2110,1108,2252,2862,804,675,474,78
"905","906",0.3849572914,1681,2452,3264,3005,2393,1061,2194,3128,579,590,436,78
"906","907",0.3152132332,1341,2247,3605,3291,2540,869,2285,3492,507,527,394,78
"907","908",0.5694593071,1185,1950,3228,2909,2445,785,2270,3794,509,538,383,78
"908","909",0.3423708376,1277,2277,3921,3632,2737,902,2342,3552,493,538,381,78
"909","910",0.2552097549,1341,2273,3659,3352,2563,910,2303,3466,532,564,415,78
"910","911",0.2466223903,1778,2553,3153,2922,2362,1115,2165,3086,741,721,555,78
"911","912",0.1648833068,1527,2365,3435,3145,2440,948,2260,3162,621,596,428,78
"912","913",0.4159242186,1322,2232,3607,3274,2520,914,2296,3406,539,547,392,78
"913","914",0.3859099353,1295,2229,3905,3615,2700,919,2360,3676,487,562,402,78
"914","915",0.535262015,1281,2231,4000,3690,2769,992,2399,3748,501,584,411,78
"915","916",0.1473019078,1290,2194,3809,3505,2644,887,2315,3650,483,528,378,78
"916","917",0.9586846292,1464,2305,3473,3220,2473,896,2260,3376,505,550,394,78
"917","918",0.27286221,1570,2432,3185,2903,2304,1043,2172,2770,694,643,451,78
"918","919",0.4818706106,1309,2233,3718,3405,2630,916,2317,3470,537,599,409,78
"919","920",0.4372067867,1255,2164,3857,3507,2662,862,2371,3606,468,557,382,78
"920","921",0.4138093294,1226,2166,3749,3476,2817,880,2385,3760,459,542,389,78
"921","922",0.6449513208,1248,2174,3864,3507,2681,833,2346,3662,444,506,340,78
"922","923",0.3365257777,1367,2298,3598,3285,2519,897,2271,3392,539,566,397,78
"923","924",0.2525791105,1522,2385,3114,2818,2261,1020,2206,3044,734,655,438,78
"924","925",0.2861065523,1367,2298,3598,3285,2519,897,2271,3472,497,531,390,78
"925","926",0.4400574561,1208,2102,3894,3641,2586,889,2384,3796,430,513,351,78
"926","927",0.4216192594,1151,2105,3918,3578,2769,804,2368,3918,361,423,324,78
"927","928",0.2693153271,1184,2109,3765,3452,2627,811,2338,3636,417,506,378,78
"928","929",0.3266298011,1466,2318,3240,2970,2382,992,2206,3378,491,506,364,78
"929","930",0.3081552049,1537,2296,3159,2937,2333,1021,2206,3016,713,660,509,78
"930","931",0.4470702135,1186,2096,3700,3399,2576,829,2338,3542,428,494,347,78
"931","932",0.3973293373,1109,2057,3957,3692,2760,779,2380,3894,351,451,308,78
"932","933",0.3098193864,1082,2013,3756,3477,2619,798,2380,3640,384,477,326,78
"933","934",0.3267998322,1158,2081,3686,3413,2604,811,2348,3458,455,505,356,78
"934","935",0.3506444372,1390,2210,3495,3193,2516,903,2273,3480,446,491,349,78
"935","936",0.128906695,1465,2338,3219,2985,2446,1012,2253,2862,683,704,523,78
"936","937",0.3031801351,1138,2053,3786,3511,2644,782,2371,3576,411,508,354,78
"937","938",0.3018220202,975,1771,3245,2887,2253,662,2296,3408,430,486,314,78
"938","939",0.8431913302,1114,2010,3409,3163,2462,785,2214,3486,439,498,336,78
"939","940",0.9387904492,1508,2462,3075,2797,2337,1039,2226,2916,633,635,434,78
"940","941",0.2693732459,1721,2670,2958,2702,2197,1231,2108,2850,695,673,523,78
"941","942",0.2543906625,1332,2232,3560,3304,2551,872,2326,3240,557,590,420,78
"942","943",0.8187866869,1270,2194,3589,3328,2582,875,2436,3404,458,531,362,78
"943","944",0.2309383689,1314,2202,3595,3271,2508,909,2330,3496,471,530,393,78
"944","945",0.2495738141,1314,2202,3595,3271,2508,909,2330,3406,448,486,352,78
"945","946",0.4147706286,1396,2223,3144,2836,2253,899,2202,3602,380,455,307,78
"946","947",4.245462346,1865,2709,3345,3019,2519,1161,2221,3222,692,699,425,78
"947","948",2.918633204,1939,2791,3369,3080,2554,1227,2183,3198,725,714,436,78
"948","949",1.789296,1817,2643,3188,2920,2368,1107,2173,3072,634,656,413,78
"949","950",3.553722237,1607,2343,3073,2824,2214,999,2159,2980,524,577,348,78
"950","951",4.936099332,1700,2384,2961,2748,2238,1033,2154,2966,584,608,382,78
"951","952",2.500852389,1733,2529,3153,2895,2349,1008,2162,3032,570,593,360,78
"952","953",4.992369243,1934,2776,3387,3131,2601,1253,2173,3282,752,733,451,78
"953","954",1.356681152,1865,2709,3345,3019,2519,1161,2221,3174,705,700,435,78
"955","956",2.941658958,2059,2857,3409,3112,2565,1342,2183,3270,958,874,537,78
"956","957",1.951375971,1812,2636,3130,2877,2324,1072,2148,3040,612,612,378,78
"957","958",2.588634443,1707,2447,2800,2618,2253,1094,2020,2938,609,595,373,78
"958","959",2.094853298,1638,2523,3322,3129,2510,1037,2237,3166,603,618,371,78
"959","960",3.531657236,1779,2555,3187,2862,2311,1069,2162,2920,630,623,390,78
"960","961",1.933676507,1885,2714,3315,3050,2479,1209,2173,3238,744,727,439,78
"962","963",1.644644772,1713,2618,3525,3201,2570,1117,2259,3520,569,633,384,78
"963","964",3.645767485,1758,2686,3455,3130,2563,1188,2184,3282,778,756,493,78
"964","965",2.40920447,1693,2544,3263,2969,2371,1046,2215,3116,603,638,393,78
"966","967",3.697455407,1503,2371,3497,3247,2519,962,2237,3630,440,547,329,78
"967","968",2.930698645,1486,2382,3460,3237,2519,948,2255,3436,504,553,326,78
"969","970",3.495413904,1713,2618,3525,3201,2570,1117,2259,3362,533,585,393,78
"970","971",0.1545371105,1588,2483,3472,3135,2469,972,2300,3306,563,596,442,78
"971","972",0.1772834526,1613,2558,3418,3118,2492,1043,2185,3196,634,647,445,78
"972","973",0.1150504197,1522,2471,3429,3134,2449,962,2215,3248,588,567,430,78
"973","974",0.1616903452,1500,2435,3385,3120,2493,985,2264,3228,574,590,425,78
"974","975",0.2303962205,1476,2355,3410,3152,2493,972,2342,3090,573,580,444,78
"975","976",0.3534242545,1519,2400,3306,3047,2491,1011,2369,3228,616,625,446,78
"976","977",0.258447402,1506,2417,3365,3104,2432,954,2342,3322,554,584,418,78
"977","978",0.2168852602,1562,2489,3372,3132,2452,1014,2246,3206,624,628,433,78
"978","979",0.2036869821,1590,2525,3379,3081,2431,1036,2207,3312,583,576,426,78
"979","980",0.1107215723,1592,2580,3322,2981,2432,1074,2242,3176,636,655,443,78
"980","981",0.2101696429,1574,2533,3473,3127,2466,1003,2294,3300,562,596,415,78
"981","982",0.1770755739,1525,2311,3190,2945,2371,921,2257,3132,581,591,458,78
"982","983",0.1823995093,1763,2690,3463,3097,2481,1097,2258,3230,666,651,456,78
"983","984",0.1908252971,1555,2461,3445,3160,2439,965,2225,3276,618,608,429,78
"985","986",0.180656083,1510,2425,3383,3074,2440,966,2246,3296,572,571,393,78
"986","987",0.1547088639,1555,2409,3213,3029,2363,1061,2193,3038,627,667,421,78
"987","988",0.1708667537,1669,2487,3466,3169,2529,993,2390,3428,616,586,368,78
"988","989",0.359456158,1946,2876,3353,3108,2452,1133,2370,3538,548,547,368,78
"989","990",0.2514476606,1861,2783,3506,3189,2516,1073,2232,3514,559,594,384,78
"990","991",0.2671010882,2603,3358,2893,2623,2219,1571,1980,3176,901,786,494,78
"991","992",0.1945266211,2151,3040,3376,3064,2447,1215,2187,2972,1128,877,592,78
"992","993",0.228491016,1802,2743,3116,2831,2110,1206,2215,3370,706,644,418,78
